ID,Time,SMC,Treatment,lgTplus1
1,0,18.40277778,CK,0
2,0,17.97752809,CK,0
3,0,17.4904943,CK,0
4,0,17.4556213,CK,0
21,16,6.451612903,CK,4.087462841
22,16,6.148867314,CK,4.087462841
23,16,7.359307359,CK,4.087462841
24,16,5.882352941,CK,4.087462841
25,32,3.875968992,CK,5.044394119
26,32,3.717472119,CK,5.044394119
27,32,4.508196721,CK,5.044394119
28,32,3.484320557,CK,5.044394119
29,64,3.340757238,CK,6.022367813
30,64,3.322259136,CK,6.022367813
31,64,3.468208092,CK,6.022367813
32,64,3.939393939,CK,6.022367813
33,128,3.403141361,CK,7.011227255
34,128,3.642384106,CK,7.011227255
35,128,3.177966102,CK,7.011227255
36,128,3.418803419,CK,7.011227255
37,256,2.991452991,CK,8.005624549
38,256,3.10880829,CK,8.005624549
39,256,3.088803089,CK,8.005624549
40,256,3.587443946,CK,8.005624549
41,512,3.436426117,CK,9.002815016
42,512,2.678571429,CK,9.002815016
43,512,3.141361257,CK,9.002815016
44,512,2.83286119,CK,9.002815016
45,1024,2.521008403,CK,10.00140819
46,1024,2.81124498,CK,10.00140819
47,1024,2.673796791,CK,10.00140819
48,1024,2.721088435,CK,10.00140819
49,2048,3.496503497,CK,11.00070427
50,2048,2.739726027,CK,11.00070427
51,2048,3.743315508,CK,11.00070427
52,2048,3.431372549,CK,11.00070427
53,4096,2.04778157,CK,12.00035218
54,4096,2.232142857,CK,12.00035218
55,4096,2.076124567,CK,12.00035218
56,4096,2.870813397,CK,12.00035218
57,8192,4.017857143,CK,13.0001761
58,8192,3.846153846,CK,13.0001761
59,8192,4.017857143,CK,13.0001761
60,8192,3.643724696,CK,13.0001761
61,0,19.18819188,N,0
62,0,16.45021645,N,0
63,0,18.32669323,N,0
64,0,17.61363636,N,0
81,16,4.347826087,N,4.087462841
82,16,4.794520548,N,4.087462841
83,16,6.808510638,N,4.087462841
84,16,4.713804714,N,4.087462841
85,32,3.424657534,N,5.044394119
86,32,3.819444444,N,5.044394119
87,32,3.606557377,N,5.044394119
88,32,3.38028169,N,5.044394119
89,64,3.305785124,N,6.022367813
90,64,4.368932039,N,6.022367813
91,64,4.195804196,N,6.022367813
92,64,3.583061889,N,6.022367813
93,128,3.546099291,N,7.011227255
94,128,3.202846975,N,7.011227255
95,128,2.906976744,N,7.011227255
96,128,3.367003367,N,7.011227255
97,256,2.816901408,N,8.005624549
98,256,2.867383513,N,8.005624549
99,256,3.03030303,N,8.005624549
100,256,3.448275862,N,8.005624549
101,512,3.927492447,N,9.002815016
102,512,3.956834532,N,9.002815016
103,512,3.405572755,N,9.002815016
104,512,3.846153846,N,9.002815016
105,1024,3.20855615,N,10.00140819
106,1024,3.398058252,N,10.00140819
107,1024,4,N,10.00140819
108,1024,3.375527426,N,10.00140819
109,2048,3.038674033,N,11.00070427
110,2048,2.5,N,11.00070427
111,2048,2.978723404,N,11.00070427
112,2048,2.743902439,N,11.00070427
113,4096,3.317535545,N,12.00035218
114,4096,3,N,12.00035218
115,4096,3.225806452,N,12.00035218
116,4096,3.017241379,N,12.00035218
117,8192,3.249097473,N,13.0001761
118,8192,3.47826087,N,13.0001761
119,8192,3.06122449,N,13.0001761
120,8192,3.95256917,N,13.0001761
121,0,17.32026144,NPK,0
122,0,16.796875,NPK,0
123,0,17.16738197,NPK,0
124,0,17.80104712,NPK,0
141,16,4.347826087,NPK,4.087462841
142,16,5.776173285,NPK,4.087462841
143,16,4.109589041,NPK,4.087462841
144,16,4.230769231,NPK,4.087462841
145,32,4.366812227,NPK,5.044394119
146,32,3.956834532,NPK,5.044394119
147,32,3.761755486,NPK,5.044394119
148,32,3.529411765,NPK,5.044394119
149,64,3.472222222,NPK,6.022367813
150,64,3.47826087,NPK,6.022367813
151,64,3.418803419,NPK,6.022367813
152,64,3.649635036,NPK,6.022367813
153,128,3.571428571,NPK,7.011227255
154,128,3.267973856,NPK,7.011227255
155,128,3.524229075,NPK,7.011227255
156,128,3.135888502,NPK,7.011227255
157,256,2.770083102,NPK,8.005624549
158,256,2.711864407,NPK,8.005624549
159,256,3.216374269,NPK,8.005624549
160,256,3.184713376,NPK,8.005624549
161,512,3.611111111,NPK,9.002815016
162,512,3.333333333,NPK,9.002815016
163,512,3.418803419,NPK,9.002815016
164,512,3.937007874,NPK,9.002815016
165,1024,2.857142857,NPK,10.00140819
166,1024,2.5,NPK,10.00140819
167,1024,2.573529412,NPK,10.00140819
168,1024,2.916666667,NPK,10.00140819
169,2048,2.264150943,NPK,11.00070427
170,2048,2.127659574,NPK,11.00070427
171,2048,2.508960573,NPK,11.00070427
172,2048,2.661596958,NPK,11.00070427
173,4096,2.173913043,NPK,12.00035218
174,4096,2.088772846,NPK,12.00035218
175,4096,2.33463035,NPK,12.00035218
176,4096,2.208201893,NPK,12.00035218
177,8192,3.460207612,NPK,13.0001761
178,8192,3.6900369,NPK,13.0001761
179,8192,3.422053232,NPK,13.0001761
180,8192,3.088803089,NPK,13.0001761
181,0,20.21857923,NPKM,0
182,0,20.83333333,NPKM,0
183,0,20.84592145,NPKM,0
184,0,20.08368201,NPKM,0
201,16,5.668016194,NPKM,4.087462841
202,16,6.25,NPKM,4.087462841
203,16,6.550218341,NPKM,4.087462841
204,16,7.260726073,NPKM,4.087462841
205,32,4.545454545,NPKM,5.044394119
206,32,4.958677686,NPKM,5.044394119
207,32,4.016064257,NPKM,5.044394119
208,32,4.904632153,NPKM,5.044394119
209,64,4.044117647,NPKM,6.022367813
210,64,3.896103896,NPKM,6.022367813
211,64,3.971119134,NPKM,6.022367813
212,64,4.575163399,NPKM,6.022367813
213,128,3.883495146,NPKM,7.011227255
214,128,5.056179775,NPKM,7.011227255
215,128,4.186046512,NPKM,7.011227255
216,128,4.347826087,NPKM,7.011227255
217,256,3.378378378,NPKM,8.005624549
218,256,3.448275862,NPKM,8.005624549
219,256,3.4375,NPKM,8.005624549
220,256,3.921568627,NPKM,8.005624549
221,512,4.245283019,NPKM,9.002815016
222,512,3.793103448,NPKM,9.002815016
223,512,3.496503497,NPKM,9.002815016
224,512,4.081632653,NPKM,9.002815016
225,1024,3.03030303,NPKM,10.00140819
226,1024,3.684210526,NPKM,10.00140819
227,1024,3.614457831,NPKM,10.00140819
228,1024,3.448275862,NPKM,10.00140819
229,2048,3.448275862,NPKM,11.00070427
230,2048,3.050847458,NPKM,11.00070427
231,2048,3.308823529,NPKM,11.00070427
232,2048,2.739726027,NPKM,11.00070427
233,4096,1.995012469,NPKM,12.00035218
234,4096,1.78041543,NPKM,12.00035218
235,4096,2.745098039,NPKM,12.00035218
236,4096,2.465753425,NPKM,12.00035218
237,8192,3.591160221,NPKM,13.0001761
238,8192,3.802281369,NPKM,13.0001761
239,8192,3.649635036,NPKM,13.0001761
240,8192,4.210526316,NPKM,13.0001761
241,0,22.35294118,NPK1.5M,0
242,0,22.5433526,NPK1.5M,0
243,0,21.64948454,NPK1.5M,0
244,0,20.78651685,NPK1.5M,0
261,16,7.843137255,NPK1.5M,4.087462841
262,16,7.881773399,NPK1.5M,4.087462841
263,16,7.56302521,NPK1.5M,4.087462841
264,16,10.65088757,NPK1.5M,4.087462841
265,32,4.566210046,NPK1.5M,5.044394119
266,32,4.918032787,NPK1.5M,5.044394119
267,32,4.524886878,NPK1.5M,5.044394119
268,32,4.545454545,NPK1.5M,5.044394119
269,64,5.357142857,NPK1.5M,6.022367813
270,64,4.712041885,NPK1.5M,6.022367813
271,64,4.371584699,NPK1.5M,6.022367813
272,64,4.184100418,NPK1.5M,6.022367813
273,128,4.166666667,NPK1.5M,7.011227255
274,128,4.020100503,NPK1.5M,7.011227255
275,128,4.580152672,NPK1.5M,7.011227255
276,128,4.411764706,NPK1.5M,7.011227255
277,256,3.846153846,NPK1.5M,8.005624549
278,256,4.166666667,NPK1.5M,8.005624549
279,256,3.484320557,NPK1.5M,8.005624549
280,256,3.875968992,NPK1.5M,8.005624549
281,512,4.80349345,NPK1.5M,9.002815016
282,512,4.225352113,NPK1.5M,9.002815016
283,512,4.147465438,NPK1.5M,9.002815016
284,512,3.951367781,NPK1.5M,9.002815016
285,1024,3.214285714,NPK1.5M,10.00140819
286,1024,3.383458647,NPK1.5M,10.00140819
287,1024,3.296703297,NPK1.5M,10.00140819
288,1024,4.054054054,NPK1.5M,10.00140819
289,2048,2.4,NPK1.5M,11.00070427
290,2048,2.681992337,NPK1.5M,11.00070427
291,2048,2.654867257,NPK1.5M,11.00070427
292,2048,2.790697674,NPK1.5M,11.00070427
293,4096,2.702702703,NPK1.5M,12.00035218
294,4096,3.240740741,NPK1.5M,12.00035218
295,4096,2.666666667,NPK1.5M,12.00035218
296,4096,3.463203463,NPK1.5M,12.00035218
297,8192,NA,NPK1.5M,13.0001761
298,8192,4.721030043,NPK1.5M,13.0001761
299,8192,4.060913706,NPK1.5M,13.0001761
300,8192,4.790419162,NPK1.5M,13.0001761
